Countryname,IDRegion,year,LifeLadder,LogGDPpercapita,Socialsupport,Healthylifeexpectancyatbirth,Freedomtomakelifechoices,Generosity,Perceptionsofcorruption,Positiveaffect,Negativeaffect
Albania,5,2020,5365,9497,0.710,69300,0.754,0.007,0.891,0.679,0.265
Argentina,4,2020,5901,9850,0.897,69200,0.823,-0.122,0.816,0.764,0.342
Australia,2,2020,7137,10760,0.937,74200,0.905,0.210,0.491,0.769,0.205
Austria,1,2020,7213,10851,0.925,73600,0.912,0.011,0.464,0.769,0.206
Bahrain,3,2020,6173,10620,0.848,69700,0.945,0.132,,0.790,0.297
Bangladesh,10,2020,5280,8472,0.739,65300,0.777,-0.009,0.742,0.582,0.332
Belgium,1,2020,6839,10771,0.904,72400,0.767,-0.164,0.634,0.647,0.260
Benin,9,2020,4408,8102,0.507,55100,0.783,-0.083,0.532,0.609,0.305
Bolivia,4,2020,5559,8998,0.805,64200,0.877,-0.054,0.868,0.790,0.382
Bosnia and Herzegovina,5,2020,5516,9583,0.899,68400,0.740,0.138,0.916,0.644,0.325
Brazil,4,2020,6110,9522,0.831,66800,0.786,-0.053,0.729,0.692,0.389
Bulgaria,5,2020,5598,9991,0.916,67200,0.818,-0.004,0.901,0.706,0.221
Cambodia,7,2020,4377,8362,0.724,62400,0.963,0.052,0.863,0.878,0.390
Cameroon,9,2020,5241,8175,0.720,54300,0.675,0.049,0.837,0.630,0.386
Canada,2,2020,7025,10730,0.931,74000,0.887,0.050,0.434,0.796,0.307
Chile,4,2020,6151,10020,0.888,70100,0.781,0.033,0.812,0.815,0.336
China,6,2020,5771,9702,0.808,69900,0.891,-0.103,,0.789,0.245
Colombia,4,2020,5709,9495,0.797,68300,0.840,-0.085,0.808,0.795,0.340
Croatia,5,2020,6508,10166,0.923,71400,0.837,-0.063,0.961,0.743,0.286
Cyprus,1,2020,6260,,0.806,74100,0.763,,0.816,0.759,0.284
Czech Republic,5,2020,6897,10530,0.964,71300,0.906,-0.127,0.884,0.832,0.290
Denmark,1,2020,7515,10910,0.947,73000,0.938,0.052,0.214,0.818,0.227
Dominican Republic,4,2020,5168,9802,0.806,66400,0.835,-0.128,0.636,0.734,0.314
Ecuador,4,2020,5354,9244,0.804,69100,0.829,-0.157,0.855,0.790,0.416
Egypt,3,2020,4472,9383,0.673,62300,0.770,-0.112,,0.599,0.442
El Salvador,4,2020,5462,9019,0.696,66700,0.924,-0.126,0.583,0.839,0.329
Estonia,5,2020,6453,10459,0.958,69000,0.954,-0.082,0.398,0.807,0.188
Ethiopia,9,2020,4549,7711,0.823,59500,0.769,0.188,0.784,0.669,0.252
Finland,1,2020,7889,10750,0.962,72100,0.962,-0.116,0.164,0.744,0.193
France,1,2020,6714,10643,0.947,74200,0.823,-0.169,0.565,0.732,0.231
Georgia,8,2020,5123,9569,0.718,64100,0.764,-0.221,0.583,0.611,0.295
Germany,1,2020,7312,10833,0.905,72800,0.864,-0.060,0.424,0.760,0.206
Ghana,9,2020,5319,8590,0.643,58000,0.824,0.200,0.847,0.713,0.253
Greece,1,2020,5788,10215,0.779,72800,0.565,-0.241,0.764,0.684,0.322
Hong Kong S.A.R. of China,6,2020,5295,,0.813,,0.705,,0.380,0.609,0.210
Hungary,5,2020,6038,10335,0.943,68400,0.771,-0.120,0.836,0.735,0.240
Iceland,1,2020,7575,10824,0.983,73000,0.949,0.160,0.644,0.863,0.172
India,10,2020,4225,8703,0.617,60900,0.906,0.075,0.780,0.752,0.383
Iran,3,2020,4865,,0.757,66600,0.600,,0.710,0.582,0.470
Iraq,,2020,4785,9167,0.708,61400,0.700,-0.021,0.849,0.644,0.532
Ireland,1,2020,7035,11323,0.960,72500,0.882,0.014,0.356,0.797,0.246
Israel,3,2020,7195,10538,0.959,73700,0.831,-0.049,0.748,0.621,0.243
Italy,1,2020,6488,10563,0.890,74000,0.718,-0.150,0.844,0.670,0.311
Ivory Coast,9,2020,5257,8565,0.613,50700,0.770,0.016,0.777,0.693,0.340
Japan,6,2020,6118,10580,0.887,75200,0.806,-0.259,0.609,0.742,0.186
Jordan,3,2020,4094,9150,0.709,67200,0.779,-0.150,,,
Kazakhstan,8,2020,6168,10135,0.966,65800,0.872,-0.056,0.661,0.684,0.150
Kenya,9,2020,4547,8365,0.674,61300,0.702,0.260,0.837,0.733,0.297
Kosovo,5,2020,6294,,0.792,,0.880,,0.910,0.726,0.201
Kyrgyzstan,8,2020,6250,8503,0.902,64700,0.935,0.103,0.931,0.803,0.258
Laos,7,2020,5284,8960,0.660,59500,0.915,0.141,0.748,0.822,0.358
Latvia,5,2020,6229,10300,0.928,67400,0.820,-0.078,0.809,0.714,0.202
Lithuania,5,2020,6391,10504,0.953,68500,0.824,-0.122,0.829,0.660,0.202
Malta,1,2020,6157,,0.938,72200,0.931,,0.675,0.601,0.411
Mauritius,9,2020,6015,9972,0.893,67000,0.843,-0.037,0.772,0.767,0.138
Mexico,4,2020,5964,9782,0.779,68900,0.873,-0.119,0.778,0.810,0.292
Moldova,8,2020,5812,9462,0.874,66400,0.859,-0.058,0.941,0.727,0.268
Mongolia,6,2020,6011,9396,0.918,62700,0.718,0.141,0.843,0.636,0.260
Montenegro,5,2020,5722,9913,0.887,68900,0.802,0.060,0.845,0.603,0.411
Morocco,3,2020,4803,8871,0.553,66500,0.819,-0.229,0.803,0.587,0.256
Myanmar,7,2020,4431,8554,0.796,59600,0.825,0.470,0.647,0.800,0.289
Namibia,9,2020,4451,9104,0.741,57100,0.666,-0.104,0.810,0.648,0.248
Netherlands,1,2020,7504,10901,0.944,72500,0.935,0.151,0.281,0.784,0.247
New Zealand,2,2020,7257,10600,0.952,73600,0.918,0.125,0.283,0.849,0.209
Nigeria,9,2020,5503,8484,0.739,50500,0.713,0.099,0.913,0.744,0.316
North Macedonia,5,2020,5054,9690,0.750,65560,0.787,0.131,0.877,0.605,0.365
Norway,1,2020,7290,11042,0.956,73400,0.965,0.075,0.271,0.823,0.216
Philippines,7,2020,5080,9061,0.781,62100,0.932,-0.116,0.744,0.804,0.327
Poland,5,2020,6139,10371,0.953,70100,0.767,-0.007,0.787,0.760,0.329
Portugal,1,2020,5768,10371,0.875,72800,0.913,-0.238,0.867,0.648,0.383
Russia,8,2020,5495,10162,0.887,65100,0.714,-0.071,0.823,0.645,0.190
Saudi Arabia,3,2020,6560,10701,0.890,66900,0.884,-0.111,,0.754,0.251
Serbia,5,2020,6042,9788,0.852,69000,0.843,0.149,0.824,0.603,0.358
Slovakia,5,2020,6519,10332,0.954,69500,0.762,-0.075,0.901,0.764,0.274
Slovenia,5,2020,6462,10478,0.953,71700,0.958,-0.081,0.797,0.610,0.314
South Africa,9,2020,4947,9332,0.891,57300,0.757,-0.015,0.912,0.820,0.294
South Korea,6,2020,5793,10648,0.808,74200,0.711,-0.106,0.665,0.640,0.247
Spain,1,2020,6502,10488,0.935,75000,0.783,-0.121,0.730,0.686,0.317
Sweden,1,2020,7314,10838,0.936,72800,0.951,0.091,0.203,0.766,0.222
Switzerland,1,2020,7508,11081,0.946,74700,0.917,-0.064,0.280,0.769,0.193
Taiwan Province of China,6,2020,6751,,0.901,,0.799,,0.711,0.845,0.083
Tajikistan,8,2020,5373,8080,0.790,64700,,-0.040,0.550,0.749,0.344
Tanzania,9,2020,3786,7881,0.740,58500,0.830,0.295,0.521,0.686,0.271
Thailand,7,2020,5885,9769,0.867,67600,0.840,0.273,0.918,0.783,0.326
Tunisia,3,2020,4731,9231,0.719,67500,0.668,-0.202,0.877,0.585,0.439
Turkey,3,2020,4862,10219,0.857,67600,0.510,-0.111,0.774,0.384,0.440
Uganda,9,2020,4641,7684,0.800,56500,0.687,0.147,0.878,0.699,0.425
Ukraine,8,2020,5270,9428,0.885,65200,0.784,0.126,0.946,0.688,0.285
United Arab Emirates,3,2020,6458,11053,0.827,67500,0.942,0.060,,0.752,0.298
United Kingdom,1,2020,6798,10626,0.929,72700,0.885,0.203,0.490,0.758,0.225
United States,2,2020,7028,11001,0.937,68100,0.850,0.034,0.678,0.787,0.295
Uruguay,4,2020,6310,9937,0.921,69200,0.908,-0.084,0.491,0.807,0.265
Venezuela,4,2020,4574,,0.805,66900,0.612,,0.811,0.722,0.396
Zambia,9,2020,4838,8117,0.767,56300,0.750,0.056,0.810,0.691,0.345
Zimbabwe,9,2020,3160,7829,0.717,56800,0.643,-0.009,0.789,0.703,0.346
